,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,TMPID,UPLOAD_ID,geometry,latitude,longitude
426,1010021700,101,소공로지하상가,1,,,5,11140,101,,,POINT (198180.4046999998 551603.2820999995),37.56396171041032,126.97940468546658
427,1010003700,101,광명문,1,,,5,11140,101,,,POINT (197650.8136 551747.6390000004),37.56526116269461,126.97340998131492
428,1010024700,101,프라자호텔,1,,,5,11140,101,,,POINT (198101.4528000001 551716.1006000005),37.56497804154099,126.97851076669288
429,1010004900,101,프레스센터,1,,,5,11140,101,,,POINT (197979.3208999997 551946.6061000004),37.56705462706598,126.97712774800237
430,1010004000,101,서울시청,1,,,5,11140,101,,,POINT (198148.9940999998 551827.8364000004),37.56598487340351,126.9790485941034
431,1010004800,101,한국체육박물관,1,,,5,11140,101,,,POINT (198162.2232999997 551937.9033000004),37.56697659813564,126.97919805871123
432,1010024200,101,시청앞광장,1,,,5,11140,101,,,POINT (197983.5543 551711.8673),37.564939649235974,126.97717631153608
433,1010022100,101,광희사거리,1,,,5,11140,101,,,POINT (200634.7061999999 551632.6094000004),37.56422752608785,127.00718402621492
434,1010023600,101,명동성당,1,,,5,11140,101,,,POINT (198912.8476999998 551668.0276999995),37.56454622096607,126.98769483599872
435,1010022500,101,명보사거리,1,,,5,11140,101,,,POINT (199369.1624999996 551648.3424999993),37.564369283390626,126.99285974877071
436,1010021600,101,제일화재해상보험(주),1,,,5,11140,101,,,POINT (197961.1174999997 551610.0554000009),37.56402227852815,126.97692263751145
437,1010027600,101,을지로1가,1,,,5,11140,101,,,POINT (198469.1052999999 551834.5085000005),37.56604557615887,126.98267189622125
438,1010028300,101,을지로2가,1,,,5,11140,101,,,POINT (198899.0893999999 551846.3573000003),37.56615294738994,126.98753884212582
439,1010028900,101,을지로3가,1,,,5,11140,101,,,POINT (199348.2604 551871.3867000006),37.566378888431316,126.9926229663073
440,1010028600,101,저동,1,,,5,11140,101,,,POINT (199094.5245000003 551854.9824999999),37.56623087285753,126.98975095260424
441,1010003200,101,중부경찰서앞,0,,,5,11140,101,,,POINT (199113.4023000002 551699.7777999993),37.56483250293738,126.98996481738764
442,1010016500,101,퇴계로3가,1,,,5,11140,101,,,POINT (199402.0625999998 551285.1489000004),37.56109694361181,126.993232430664
443,1010017000,101,퇴계로2가,1,,,5,11140,101,,,POINT (199030.4545999998 551297.9812000003),37.56121224621969,126.98902648366848
444,1010017900,101,한국은행앞,1,,,5,11140,101,,,POINT (198343.0972999996 551374.7940999996),37.5619033485059,126.98124665773146
445,1010014900,101,회현사거리,1,,,5,11140,101,,,POINT (198412.5190000003 551208.2873),37.5604032498766,126.9820327544446
446,1010027500,101,동대문운동장,1,,,5,11140,101,,,POINT (200691.5396999996 551830.1963),37.56600773556904,127.00782749176993
447,1010023700,101,오장동사거리,1,,,5,11140,101,,,POINT (200215.3636999996 551678.1438999996),37.56463798364032,127.00243764273331
448,1010029600,101,을지로4가,1,,,5,11140,101,,,POINT (199833.9787999997 551903.6796000004),37.56667006167408,126.99812080046367
449,1010030700,101,을지로5가,1,,,5,11140,101,,,POINT (200200.0177999996 551925.7943999991),37.56686930836589,127.00226401422333
450,1010010400,101,장충체육관,1,,,5,11140,101,,,POINT (200516.4600999998 551063.2510000002),37.559097699604465,127.00584523755792
451,1010002800,101,중구청앞사거리,1,,,5,11140,101,,,POINT (199853.8494999995 551646.1876999997),37.56435007304905,126.99834576888664
452,1010025500,101,신당역,1,,,5,11140,101,,,POINT (201431.1312999995 551759.5559999999),37.5653704174398,127.01619874174582
453,1010014500,101,청구역,1,,,5,11140,101,,,POINT (201217.6120999996 551194.0079999994),37.56027515666645,127.01378101418369
454,1010018800,101,퇴계로4가,1,,,5,11140,101,,,POINT (199871.7958000004 551416.2616000008),37.56227844974137,126.99854893754004
455,1010020300,101,퇴계로5가,1,,,5,11140,101,,,POINT (200227.0054000001 551521.5101999994),37.563226716932064,127.00256936347796
456,1010024400,101,한양공고앞,1,,,5,11140,101,,,POINT (201007.3064000001 551705.5551999994),37.564884433053805,127.01140146278708
457,1010032000,101,흥인사거리,1,,,5,11140,101,,,POINT (201414.0656000003 552053.2441000007),37.56801656149394,127.01600614406189
458,1010013800,101,숭례문,1,,,5,11140,101,,,POINT (197844.8733000001 551228.1476000007),37.56058103804909,126.97560803405402
459,1010005300,101,신평화시장,0,,,5,11140,101,,,POINT (201078.0438000001 552233.6337000001),37.569642318213866,127.01220289881856
460,1010025400,101,동대문공영주차장,0,,,5,11140,101,,,POINT (200924.2662000004 551734.0683999993),37.56514142292025,127.01046158635368
461,1010005900,102,남산학사빌딩,0,,,5,11140,101,,,POINT (199717.8608999997 550344.0620000008),37.55261792562005,126.99680705775344
462,1010000900,104,남산3호터널(북측),0,,,5,11140,101,,,POINT (198511.5751999998 550653.5121999998),37.55540490687845,126.98315500620119
463,1010001100,104,남산1호터널(북측),0,,,5,11140,101,,,POINT (199380.0620999997 550686.7218999993),37.555705118641725,126.99298393038976
464,1010020700,101,신동아빌딩,0,,,5,11140,101,,,POINT (201331.1569999997 551551.0382000003),37.56349182974067,127.01506677061111
465,1010014600,101,주자동빌딩,0,,,5,11140,101,,,POINT (199133.5266000004 551178.4454999994),37.56013533601273,126.99019321513306
466,1010023100,101,서울프라자호텔,1,,,5,11140,101,,,POINT (198063.3526999997 551659.5855),37.564468763378684,126.97807966936918
467,1010011600,101,미도파빌딩,0,,,5,11140,101,,,POINT (199664.9971000003 551115.4826999996),37.55956838949209,126.99620845085305
468,1010015300,101,퇴계로-삼일로진출로3,0,,,5,11140,101,,,POINT (198966.8175999997 551251.2307999991),37.560790957482276,126.98830629272322
469,1010014000,101,퇴계로-삼일로진출로2,0,,,5,11140,101,,,POINT (199058.8926999997 551171.8555999994),37.560075888032834,126.98934851376518
470,1010013900,101,퇴계로-삼일로진출로1,0,,,5,11140,101,,,POINT (199186.1326000001 551129.7734999992),37.55969685073016,126.99078866618405
471,1010012800,101,남산안기부터공원,0,,,5,11140,101,,,POINT (199122.7314999998 551144.7904000003),37.55983209438078,126.99007107594639
472,1010018400,101,극동빌딩,1,,,5,11140,101,,,POINT (199153.3545000004 551392.5958999991),37.56206484262185,126.99041738107651
473,1010027000,101,서대문아트홀,1,,,5,11140,101,,,POINT (197059.0231999997 551814.6390000004),37.565863131345495,126.96671134443741
474,1010032200,101,수표교(남단),0,,,5,11140,101,,,POINT (199077.0619000001 552051.0391000006),37.567997317353644,126.98955304731493
475,1010032500,101,삼일교,0,,,5,11140,101,,,POINT (198753.6002000002 552070.7453000005),37.56817448860176,126.98589167511545
476,1010016600,101,서울상공회의소,0,,,5,11140,101,,,POINT (197694.2052999996 551282.5205000006),37.56107057148395,126.97390258599629
477,1010017200,101,삼성공제회관,1,,,5,11140,101,,,POINT (197557.9446999999 551330.4762999993),37.56150230066844,126.97236020368075
478,1010018500,101,서소문교회,0,,,5,11140,101,,,POINT (197767.2966 551399.5987999998),37.562125622965176,126.97472949058566
479,1010014400,101,필동사무소,0,,,5,11140,101,,,POINT (199656.1069999998 551182.3695),37.56017103425717,126.99610780171571
480,1010030300,101,기업은행,0,,,5,11140,101,,,POINT (198741.1118999999 551917.2866999991),37.566791816120535,126.98575058017839
481,1010017700,101,LG패션,1,,,5,11140,101,,,POINT (198823.4183999998 551362.9625000004),37.56179748453791,126.98668310077491
482,1010033800,101,효령빌딩,0,,,5,11140,101,,,POINT (198218.0637999997 552155.6161000002),37.568938290724674,126.97982959281748
483,1010020000,101,바비엥-1,1,,,5,11140,101,,,POINT (197249.9204000002 551507.4572000001),37.563096024688576,126.9688732441927
484,1010017100,101,중앙일보빌딩,0,,,5,11140,101,,,POINT (197505.3585999999 551298.0647999998),37.561210133309935,126.97176513123871
485,1010023900,101,이화여고,0,,,5,11140,101,,,POINT (197232.8795999996 551680.9532999992),37.564659166984605,126.96867971362566
486,1010026700,101,농협중앙회 중앙본부,0,,,5,11140,101,,,POINT (197181.0210999995 551801.3918999992),37.565744156794295,126.96809227855609
487,1010031900,101,케레스타,1,,,5,11140,101,,,POINT (200684.1556000002 552047.5309999995),37.567965917755444,127.00774411435268
