Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,WORKSTATE,DEPT_CODE,STNL_REG,geometry,latitude,longitude
1000014400,101,기독교회관,1,,5,11110,100,POINT (200178.7286 552638.7098999992),37.57329265,127.0020232
1000009900,101,동대문로터리_흥인지문_,0,,5,11110,100,POINT (200829.2973999996 552346.909),37.57066318,127.0093873
1000011400,101,종로6가,1,,5,11110,100,POINT (200592.6441000002 552395.7739000004),37.57110363,127.0067086
1000007000,101,동아일보사,1,,5,11110,100,POINT (198092.9872000003 552197.7456),37.56931763,126.9784137
1000015400,101,서울지방경찰청,1,,5,11110,100,POINT (197586.5707 552726.7462000009),37.57408271,126.9726796
1000029300,104,구기터널(동측),0,,5,11110,100,POINT (196027.1645999998 556574.5898000002),37.60874606,126.955006
1000012900,104,현저고가차도(동측),0,,5,11110,100,POINT (196762.4529999997 552543.2385000009),37.57242678,126.9633513
1000007900,101,새문안교회,1,,5,11110,100,POINT (197742.7187000001 552290.6965999994),37.57015432,126.9744486
1000014900,101,충효길-율곡로진입로,0,,5,11110,100,POINT (200614.3985000001 552661.0942000002),37.57349414,127.006955
1000014500,101,서울특별시재향군인회,1,,5,11110,100,POINT (199786.0861 552646.3299000002),37.5733613,126.9975785
1000012000,101,로얄빌딩앞,0,,5,11110,100,POINT (197776.7889 552454.5512000006),37.57163072,126.9748337
1000022900,101,종로센트레빌아파트,1,,5,11110,100,POINT (201359.1804 553460.6420000009),37.58069722,127.0153875
1000012100,101,교보빌딩앞,0,,5,11110,100,POINT (197938.6679999996 552456.5819000006),37.5716494,126.9766662
1000022400,101,창신쌍용아파트,0,,5,11110,100,POINT (201345.7143999999 553283.0012999997),37.57909671,127.0152347
1000023900,101,혜명교회앞,1,,5,11110,100,POINT (200166.8514 553647.8892999999),37.5823853,127.001889
1000022500,101,옥인시장,1,,5,11110,100,POINT (197472.8420000002 553328.0545000006),37.57950016,126.9713901
1000009400,101,기업은행,1,,5,11110,100,POINT (199066.0613000002 552305.1428999994),37.57028677,126.9894282
1000024700,101,궁정교회,0,,5,11110,100,POINT (197455.1886999998 553951.5749999993),37.58511799,126.9711881
1000006900,101,강북삼성병원뒤,0,,5,11110,100,POINT (197148.9469999997 552186.6499000005),37.56921522,126.9677277
1000022700,101,국군서울지구병원,1,,5,11110,100,POINT (198227.9643000001 553389.7025000006),37.58005736,126.9799387
1000014600,101,종로세무서,1,,5,11110,100,POINT (198911.7341 552666.8453000002),37.57354552,126.9876807
1000026800,101,청운벽산빌리지,0,,5,11110,100,POINT (197114.6086999997 554741.5738999993),37.59223481,126.967329
1000027100,104,삼청터널(남측),0,,5,11110,100,POINT (198420.3761 554852.9606999997),37.59324156,126.9821138
1000026500,103,청운아파트,0,,5,11110,100,POINT (196968.6642000005 554597.6403000001),37.59093751,126.9656771
1000023600,101,유니세프한국위원회,0,,5,11110,100,POINT (197675.5131999999 553583.9070999995),37.58180591,126.9736837
1000023200,101,효자동사무소앞,0,,5,11110,100,POINT (197429.4501999998 553551.3632999994),37.58151203,126.9708981
1000022100,101,합동청사,0,,5,11110,100,POINT (197688.2132000001 553316.6774000004),37.57939821,126.9738284
1000026300,104,자하문터널(남측),0,,5,11110,100,POINT (197087.4755999995 554433.7504999992),37.58946126,126.967023
1000024300,101,무궁화동산,0,,5,11110,100,POINT (197589.1662999997 553799.6554000005),37.58374956,126.9727055
1000013200,101,낙원상가,1,,5,11110,100,POINT (198999.9463999998 552559.2654999997),37.57257633,126.9886795
1000021500,101,현대주택문화센터,1,,5,11110,100,POINT (199051.7467999998 553094.4158999994),37.57739806,126.9892652
1000008900,101,SK빌딩,1,,5,11110,100,POINT (198323.5332000004 552297.4700000007),37.57021659,126.9810231
1000019200,101,한국일보문화센타,1,,5,11110,100,POINT (198348.7474999996 552914.2343000006),37.57577365,126.9813071
1000010100,101,세운상가,1,,5,11110,100,POINT (199562.1561000003 552336.3638000004),37.57056844,126.9950438
1000007500,101,서울시교육위원회입구,0,,5,11110,100,POINT (196992.8213999998 552272.2692000009),37.56998615,126.9659601
1000030000,104,북악터널(서측),0,,5,11110,100,POINT (198195.1802000003 556891.5524000004),37.61160867,126.9795589
1000015700,104,사직터널(북측),0,,5,11110,100,POINT (196925.2202000003 552678.2255000006),37.57364357,126.9651932
1000006600,101,수표교(북단),0,,5,11110,100,POINT (199078.1202999996 552086.2288000006),37.56831438,126.989565
1000013700,101,미국대사관,0,,5,11110,100,POINT (197988.9918 552576.7029999997),37.57273179,126.9772355
1000013500,101,서울소방본부,0,,5,11110,100,POINT (198106.1385000004 552563.4076000005),37.57261225,126.9785616
1000024500,101,신교소방파출소,1,,5,11110,100,POINT (197375.2105 553860.9264000002),37.58430102,126.9702829
1000028600,101,경일약국,1,,5,11110,100,POINT (196927.7023 556144.6542000007),37.60487583,126.9652068
1000028700,104,정릉터널(남측),0,,5,11110,100,POINT (197696.1853 556372.4235999994),37.60693026,126.973909
