"StationID","NumOfBus","NumOfPeo","X","Y"
100900039,1,742,127.0087215681,37.5804037213
100900040,1,5507,126.9928636796,37.5909483783
100900041,1,5023,126.964246771,37.5820791626
100900042,2,8970,126.9981567653,37.5789514712
100900043,1,210,127.0020084833,37.5769483437
100900044,1,9808,126.9662183105,37.5664160731
100900045,1,322,126.9859476734,37.5875948053
100900046,1,6107,126.9952543092,37.5885110529
100900047,2,242,126.9668167021,37.605681218
100900048,2,455,126.9848497239,37.5799390098
100900049,1,1016,126.9607207234,37.5738474794
100900050,1,105,126.965463701,37.6120100581
100900051,1,913,126.9906200153,37.5760892484
100900052,2,982,126.9849422317,37.5815997311
100900053,1,3007,127.01700714,37.5800189539
100900054,1,296,126.964110466,37.6112770717
100900055,1,7198,126.9722764647,37.5766774815
100900056,1,1113,126.9793377561,37.576950157
100900057,1,13979,126.9921806628,37.5710729861
100900058,2,755,126.984994076,37.5827909789
100900059,1,699,126.9850311776,37.5841056738
100900060,1,1007,127.0161855253,37.5817743934
100900061,1,2643,126.9621148375,37.5707022242
100900062,1,146,126.9637921715,37.6089539753
100900063,2,332,127.0006137149,37.5860376565
100900064,1,3131,126.996518051,37.5877370613
100900065,1,1289,126.9711466491,37.5793687689
100900066,1,1580,126.9944624378,37.570632807
100900067,1,80,126.9577443332,37.6079283311
100900068,1,1903,126.986965299,37.583092177
100900069,1,4365,126.9852900569,37.5862106518
100900070,1,2683,127.014556281,37.5821062067
100900071,1,3623,126.9628351888,37.5700050081
100900072,1,141,126.9624312007,37.6079803769
100900073,1,2466,126.9641432573,37.5736332076
100900074,1,52,126.9699479367,37.6124059606
100900075,2,600,127.0019407215,37.5834542178
100900076,1,245,126.9974309648,37.5805553988
100900077,1,608,126.9575011241,37.6034020863
100900078,2,738,126.9872918609,37.5736776169
100900079,1,111,126.9690205751,37.6116055569
100900080,1,1037,126.9573354115,37.6040255786
100900081,2,691,126.986517218,37.5751598262
100900082,1,3233,126.9628880463,37.5752728058
100900083,1,161,126.9685386165,37.6129345305
100900085,1,1948,126.9995029662,37.5781188768
100900086,2,3181,126.9856755706,37.5775584314
100900088,1,2831,126.962001046,37.5763060751
100900089,1,80,126.9676873462,37.6143102577
100900090,1,5355,127.0020107348,37.5764698644
100900091,1,72,126.9574922002,37.6051519935
100900092,2,165,126.9850220301,37.5788991733
100900093,1,3974,127.0149635738,37.580511226
100900094,1,2310,126.9618603707,37.5746480221
100900095,1,158,126.9657790521,37.6134825236
100900096,1,1374,126.997511497,37.5762373738
100900097,1,55,126.9579797248,37.6062686142
100900098,1,69,126.9770474423,37.6172373713
100900099,1,2,126.9687504797,37.5803350289
100900100,1,1751,126.9813258198,37.58164517
100900101,1,2214,126.9877503526,37.5738011149
100900102,1,301,126.9671251598,37.5764842271
100900103,1,59,126.9757438761,37.6163963984
100900104,1,1020,126.9697392663,37.5794684375
100900105,1,2024,126.9802007494,37.580191528
100900106,1,264,126.983296967,37.5719470235
100900107,2,7174,127.0020898456,37.5714192458
100900108,1,92,126.9653293849,37.5768126115
100900109,1,186,126.9741212409,37.6145722576
100900110,1,130,126.9972179386,37.5850311082
100900111,1,1258,126.9710277184,37.5794930902
100900112,1,132,126.956715418,37.6009238115
100900113,1,138,126.9653175119,37.5755600915
100900114,1,75,126.9718458037,37.6139004282
100900115,1,286,126.9571553655,37.601989057
100900116,3,2301,126.9850714936,37.5703393522
100900117,1,5873,127.0117218002,37.5720494465
100900118,1,301,126.9646261961,37.5746470811
100900119,1,76,126.9707007997,37.6134063548
100900120,1,142,126.9578303612,37.6020037175
100900121,2,2673,126.9874384317,37.5705445369
100900122,1,1312,127.0157200961,37.5760372123
100900123,1,1402,126.962337459,37.5714943551
100900124,1,42,126.9816861503,37.6128643152
100900125,1,364,126.9866353642,37.5792417814
100900126,1,3041,126.9616893251,37.5726178078
100900127,1,50,126.9794938432,37.6146490046
100900128,1,2854,127.0022812884,37.5753200672
100900129,1,1077,126.9817444742,37.5874185176
